African,European,Asian,name
0,1,0,Paul Morphy
0,1,0,Papa Jack Laine
0,1,0,William Edward Burghardt Du Bois
0,1,0,Ben Stiller
0,1,0,Mark Z. Danielewski
0,1,1,Corey Feldman
0,1,0,Debi Mazar
0,1,0,George Gobel
0,1,0,John C. Frémont
0,1,0,Adlai Stevenson I
0,1,0,Charles Curtis
0,1,0,Alben W. Barkley
0,1,0,Hilary Swank
0,0,1,Ralph Bakshi
0,1,1,Stanley Miller
0,1,0,Robert Crumb
0,1,0,Conrad Hilton
0,1,0,Gates McFadden
0,1,1,Roseanne Barr
0,1,0,John Vincent Atanasoff
1,1,0,Alex Haley
0,1,0,Fred Zinnemann
0,1,0,Walter Annenberg
0,1,0,Bobby Czyz
0,1,0,John Ratzenberger
0,1,1,Bruce Paltrow
0,1,0,George E. Clymer
0,1,0,Terry Branstad
0,1,0,Ernie Kovacs
0,1,0,Alice Heine
0,0,1,Paul Anka
0,1,0,Frank Oz
0,1,0,Carl Reiner
0,1,0,Henny Youngman
0,1,1,Liev Schreiber
0,1,0,Mira Furlan
0,1,0,Nella Larsen
0,1,0,Robert Hofstadter
0,1,0,John Zerzan
0,1,0,Thomas Eakins
0,1,0,John A. Dahlgren
0,1,1,Julia Louis-Dreyfus
0,1,0,Alan Bean
0,1,0,Dana Carvey
0,1,0,Tina Fey
0,1,0,David Farragut
0,1,0,George Armstrong Custer
0,1,0,Abigail Adams
0,1,0,Pierre Gustave Toutant-Beauregard
0,0,1,Lorne Michaels
0,1,0,Steve Martin
0,1,0,Chevy Chase
0,0,0,Garrett Morris
0,0,0,Miguel Cancel
0,1,0,Danny DeVito
0,1,0,Larry David
0,1,0,Heinz von Foerster
0,1,0,Adolph Zukor
0,1,0,Samuel P. Huntington
0,1,0,Bud Abbott
0,1,0,Lou Costello
0,1,0,Clara Bow
0,1,0,Jared Diamond
0,1,0,Alfred Schütz
0,1,0,Irving Rapper
0,0,0,Werner Erhard
0,1,0,Sean Astin
0,1,0,Hank Azaria
0,1,0,Howard Stern
0,1,0,Norma McCorvey
0,0,0,Yiye Ávila
0,1,0,Sean Penn
0,1,0,Robert Bork
0,1,0,Adele Astaire
1,1,0,Oscar de la Renta
0,1,0,Mark Rothko
0,1,0,Paul Giamatti
0,1,0,Madeleine Albright
0,1,0,Adolph Green
0,1,0,Rudy Perpich
0,1,0,Alice Cooper
0,1,0,Gregory Goodwin Pincus
0,1,0,Edgar Bergen
0,1,0,Alfred Aho
0,1,1,Joe Shuster
0,1,0,Bill Finger
0,1,0,Madonna Louise Ciccone
0,1,0,Gene Simmons
0,1,0,Paul Daniel Frehley
0,1,0,Jeff Bezos
0,0,1,Chang-Lin Tien
0,0,1,Lucy Liu
0,0,1,Jerry Yang
0,0,1,Chino Moreno
0,1,0,George Bancroft
0,1,0,Conlon Nancarrow
0,1,0,William Bainbridge
